mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_learning_rate,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,RMSE
3.4374775886535645,0.03935590839488915,0.20958367983500162,0.015718265763785613,relu,0.001,50,"{'activation': 'relu', 'learning_rate': 0.001, 'neurons': 50}",-0.015078202307048861,-0.009807492324235558,-0.014800122236631866,-0.013228605622638763,0.002421754774507418,16,0.11501567555180799
3.8293419679005942,0.125826181250981,0.19469285011291504,0.006445804255307508,relu,0.001,100,"{'activation': 'relu', 'learning_rate': 0.001, 'neurons': 100}",-0.023612715376113497,-0.009181558865795409,-0.016253438776887043,-0.016349237672931984,0.005891884397354641,22,0.12786413755596987
5.477032820383708,0.9652852390339384,0.19072445233662924,0.004494215699305467,relu,0.001,150,"{'activation': 'relu', 'learning_rate': 0.001, 'neurons': 150}",-0.024842886075579343,-0.009107681645903828,-0.015610049205115838,-0.016520205642199668,0.006456028354227999,23,0.12853095207847667
3.334604263305664,0.08072009295223714,0.1908113956451416,0.004162852437734495,relu,0.01,50,"{'activation': 'relu', 'learning_rate': 0.01, 'neurons': 50}",-0.013107188155902746,-0.009188488028565088,-0.014855651086059555,-0.012383775756842463,0.002369483544909189,12,0.11128241440965622
4.505193630854289,0.8589216270767249,0.19361082712809244,0.0046986620773194964,relu,0.01,100,"{'activation': 'relu', 'learning_rate': 0.01, 'neurons': 100}",-0.017428943613514224,-0.009348872140419429,-0.015558719996441189,-0.01411217858345828,0.003453621316549342,19,0.11879469088919033
6.287771542867024,1.0969357922018512,0.19889680544535318,0.007017909850039482,relu,0.01,150,"{'activation': 'relu', 'learning_rate': 0.01, 'neurons': 150}",-0.01908110808734689,-0.00882967485925947,-0.016915211646358355,-0.014941998197654904,0.004411586962616502,21,0.12223746642357614
3.2473304271698,0.009864398202834305,0.29206617673238117,0.14407000857790556,relu,0.1,50,"{'activation': 'relu', 'learning_rate': 0.1, 'neurons': 50}",-0.05868531089880445,-0.009539518880900677,-0.014412406540041714,-0.027545745439915614,0.02210868096865979,24,0.16596910989673835
5.595255215962728,0.1778151780215807,0.19550196329752603,0.0035282067154737643,relu,0.1,100,"{'activation': 'relu', 'learning_rate': 0.1, 'neurons': 100}",-0.05733495850669159,-0.009574061525207395,-0.027304539614480674,-0.03140451988212655,0.019712655812367523,26,0.17721320459301715
8.311084429423014,0.6983670296652763,0.20299148559570312,0.0057009096884620795,relu,0.1,150,"{'activation': 'relu', 'learning_rate': 0.1, 'neurons': 150}",-0.054403902847643175,-0.009107574469088386,-0.3140298030105984,-0.12584709344244333,0.13434405699906968,27,0.35474933888936755
5.403984308242798,0.19697635864085225,0.335800568262736,0.003368184568687163,tanh,0.001,50,"{'activation': 'tanh', 'learning_rate': 0.001, 'neurons': 50}",-0.010901745521502637,-0.009225719074136576,-0.014923089615122218,-0.011683518070253812,0.0023907298758340774,8,0.10809032366615344
6.76188588142395,0.2941774852682344,0.339951753616333,0.0030168079517031384,tanh,0.001,100,"{'activation': 'tanh', 'learning_rate': 0.001, 'neurons': 100}",-0.009786383965606148,-0.008829358849179582,-0.01606935567127874,-0.011561699495354823,0.0032112507862852653,7,0.10752534350261254
8.94841726620992,0.7756970620034636,0.4388277530670166,0.13996578827178868,tanh,0.001,150,"{'activation': 'tanh', 'learning_rate': 0.001, 'neurons': 150}",-0.009820972583016865,-0.008996107212409345,-0.0145780753728262,-0.01113171838941747,0.0024600993289871395,4,0.10550695896203942
4.999161163965861,0.2814306480160869,0.3347630500793457,0.004071607541647691,tanh,0.01,50,"{'activation': 'tanh', 'learning_rate': 0.01, 'neurons': 50}",-0.0093196618310896,-0.008916924270291187,-0.014742085308436638,-0.010992890469939141,0.0026561746727805967,3,0.10484698598404792
6.118617693583171,0.2561403000079628,0.34524162610371906,0.007772395655341677,tanh,0.01,100,"{'activation': 'tanh', 'learning_rate': 0.01, 'neurons': 100}",-0.010134081734623572,-0.009479235659895722,-0.014396029609790627,-0.011336449001436641,0.002179905344987626,5,0.10647276178176576
10.43382747968038,1.140117397304406,0.34243051211039227,0.0019948844952094266,tanh,0.01,150,"{'activation': 'tanh', 'learning_rate': 0.01, 'neurons': 150}",-0.010814065382116737,-0.008962905226550444,-0.021511272578290774,-0.013762747728985983,0.005530908694817361,18,0.11731473790187652
5.208454291025798,0.22331711710966032,0.33691104253133136,0.0034619192345751106,tanh,0.1,50,"{'activation': 'tanh', 'learning_rate': 0.1, 'neurons': 50}",-0.011934921779531246,-0.008906236637834082,-0.014531278139440594,-0.011790812185601974,0.0022986733354982184,9,0.10858550633303679
6.900610367457072,0.5682200891974295,0.3370845317840576,0.003558369958049462,tanh,0.1,100,"{'activation': 'tanh', 'learning_rate': 0.1, 'neurons': 100}",-0.011521839619367617,-0.009135890572790491,-0.01665959149809114,-0.012439107230083082,0.003139273143642564,13,0.11153074567168948
10.027026891708374,0.8769168709354721,0.3415280183156331,0.0017763538045864216,tanh,0.1,150,"{'activation': 'tanh', 'learning_rate': 0.1, 'neurons': 150}",-0.014234171609789046,-0.010625349377743924,-0.014943389915850055,-0.013267636967794342,0.0018906807297573796,17,0.11518522894796165
4.222331762313843,0.2155472173092841,0.19313788414001465,0.006650467034135327,sigmoid,0.001,50,"{'activation': 'sigmoid', 'learning_rate': 0.001, 'neurons': 50}",-0.0128808212069914,-0.008837148186335077,-0.014444803061755482,-0.012054257485027321,0.0023627461410128813,10,0.10979188260079759
