mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_learning_rate,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,RMSE
2.566934903462728,0.09307228288625516,0.2002419630686442,0.007778203352196492,relu,0.001,50,"{'activation': 'relu', 'learning_rate': 0.001, 'neurons': 50}",-0.02210647259497709,-0.008871189986018884,-0.040383650398151213,-0.023787104326382397,0.012919679628871262,22,0.15423068542408283
2.966695706049601,0.19959742131898944,0.1680297056833903,0.0018042729446258203,relu,0.001,100,"{'activation': 'relu', 'learning_rate': 0.001, 'neurons': 100}",-0.01781819154124499,-0.008862044041842569,-0.019029008584853745,-0.015236414722647104,0.004534384975605746,19,0.1234358729164545
3.0516762733459473,0.10289229939615,0.1744213898976644,0.005260101454184392,relu,0.001,150,"{'activation': 'relu', 'learning_rate': 0.001, 'neurons': 150}",-0.011584670425335545,-0.008852014305983277,-0.020552550148815664,-0.013663078293378162,0.004997697416598131,15,0.11688917098421976
2.5688981215159097,0.0859411896870731,0.18728121121724448,0.022715205463431157,relu,0.01,50,"{'activation': 'relu', 'learning_rate': 0.01, 'neurons': 50}",-0.012834196771034222,-0.010240813228414764,-0.01475672045157181,-0.012610576817006933,0.001850379947455814,14,0.11229682460785315
2.9258223374684653,0.30105568941076927,0.17122101783752441,0.004778288102332389,relu,0.01,100,"{'activation': 'relu', 'learning_rate': 0.01, 'neurons': 100}",-0.018165617242703137,-0.010391305460492424,-0.01453681992379876,-0.014364580875664773,0.0031761854101035156,17,0.11985232945447816
3.1532408396402993,0.16275409057398277,0.17553130785624185,0.007853351985341993,relu,0.01,150,"{'activation': 'relu', 'learning_rate': 0.01, 'neurons': 150}",-0.012294967741827112,-0.008881511887682094,-0.015182142590296079,-0.012119540739935096,0.0025752110317959205,11,0.11008878571378237
2.782639662424723,0.17428909138150964,0.1879563331604004,0.01040842768344737,relu,0.1,50,"{'activation': 'relu', 'learning_rate': 0.1, 'neurons': 50}",-0.05580271351183003,-0.008954338993641063,-0.02453147171526368,-0.02976284140691159,0.019480211675563547,24,0.17251910446936475
2.887128988901774,0.026784116032600846,0.1716442902882894,0.004787839227754944,relu,0.1,100,"{'activation': 'relu', 'learning_rate': 0.1, 'neurons': 100}",-0.06208817086900556,-0.01406291350467515,-0.31034076740733174,-0.12883061726033748,0.12983594081510672,26,0.3589298221941686
3.0980910460154214,0.0196366174416247,0.16703295707702637,0.0062842013986444305,relu,0.1,150,"{'activation': 'relu', 'learning_rate': 0.1, 'neurons': 150}",-0.27068719841499495,-0.06706443719999325,-0.3188376010237503,-0.21886307887957948,0.10912297658963142,27,0.4678280441354275
2.6717494328816733,0.26083170050380416,0.16647092501322427,0.003905330396652906,tanh,0.001,50,"{'activation': 'tanh', 'learning_rate': 0.001, 'neurons': 50}",-0.008949832525754374,-0.00885902546501747,-0.015076144228805622,-0.010961667406525821,0.00290961064077632,3,0.10469798186462727
