Date,Actual,Predicted_RNN,Predicted_GRU,Predicted_LSTM
2022-03-12,3825.0,3790.0706,3831.9897,3864.3647
2022-03-13,3825.0,3790.0706,3831.9897,3864.3647
2022-03-14,3875.0000000000005,3790.0706,3831.9897,3864.3647
2022-03-15,3887.5,3838.9758,3881.2373,3913.6772
2022-03-16,3975.0,3851.1946,3893.5425,3925.997
2022-03-17,3975.0,3936.6235,3979.6035,4012.1545
2022-03-18,3962.5000000000005,3936.6235,3979.6035,4012.1545
2022-03-19,3962.5000000000005,3924.4304,3967.317,3999.8552
2022-03-20,3962.5000000000005,3924.4304,3967.317,3999.8552
2022-03-21,3825.0,3924.4304,3967.317,3999.8552
2022-03-22,3837.5000000000005,3790.0706,3831.9897,3864.3647
2022-03-23,3887.5,3802.3,3844.3054,3876.697
2022-03-24,3962.5000000000005,3851.1946,3893.5425,3925.997
2022-03-25,3925.0000000000005,3924.4304,3967.317,3999.8552
2022-03-26,3925.0000000000005,3887.8284,3930.442,3962.9407
2022-03-27,3925.0000000000005,3887.8284,3930.442,3962.9407
2022-03-28,3937.5000000000005,3887.8284,3930.442,3962.9407
2022-03-29,3962.5000000000005,3900.032,3942.737,3975.249
2022-03-30,3937.5000000000005,3924.4304,3967.317,3999.8552
2022-03-31,3950.0,3900.032,3942.737,3975.249
2022-04-01,3937.5000000000005,3912.2322,3955.028,3987.554
2022-04-02,3937.5000000000005,3900.032,3942.737,3975.249
2022-04-03,3937.5000000000005,3900.032,3942.737,3975.249
2022-04-04,3912.5,3900.032,3942.737,3975.249
2022-04-05,3912.5,3875.62,3918.1453,3950.6292
2022-04-06,3837.5000000000005,3875.62,3918.1453,3950.6292
2022-04-07,3850.0,3802.3,3844.3054,3876.697
2022-04-08,3850.0,3814.53,3856.6187,3889.0269
2022-04-09,3850.0,3814.53,3856.6187,3889.0269
2022-04-10,3850.0,3814.53,3856.6187,3889.0269
2022-04-11,3837.5000000000005,3814.53,3856.6187,3889.0269
2022-04-12,3850.0,3802.3,3844.3054,3876.697
2022-04-13,3862.5,3814.53,3856.6187,3889.0269
2022-04-14,3837.5000000000005,3826.7554,3868.9294,3901.354
2022-04-15,3837.5000000000005,3802.3,3844.3054,3876.697
2022-04-16,3837.5000000000005,3802.3,3844.3054,3876.697
2022-04-17,3837.5000000000005,3802.3,3844.3054,3876.697
2022-04-18,3812.5000000000005,3802.301,3844.3054,3876.697
2022-04-19,3787.5,3777.8337,3819.6707,3852.029
2022-04-20,3925.0000000000005,3753.3542,3795.0261,3827.3486
2022-04-21,4150.0,3887.8284,3930.442,3962.9407
2022-04-22,4137.5,4106.95,4151.3047,4183.99
2022-04-23,4137.5,4094.8083,4139.059,4171.739
2022-04-24,4137.5,4094.8083,4139.059,4171.739
2022-04-25,4112.500000000001,4094.8083,4139.059,4171.739
2022-04-26,4175.0,4070.5137,4114.56,4147.224
2022-04-27,4112.500000000001,4131.223,4175.786,4208.4844
2022-04-28,4475.0,4070.5137,4114.56,4147.224
2022-04-29,4475.0,4421.259,4468.575,4501.279
2022-04-30,4475.0,4421.259,4468.575,4501.279
2022-05-01,4475.0,4421.259,4468.575,4501.279
2022-05-02,4475.0,4421.259,4468.575,4501.279
2022-05-03,4475.0,4421.259,4468.575,4501.279
2022-05-04,4475.0,4421.259,4468.575,4501.279
2022-05-05,4475.0,4421.259,4468.575,4501.279
2022-05-06,4475.0,4421.259,4468.575,4501.279
2022-05-07,4475.0,4421.259,4468.575,4501.279
2022-05-08,4475.0,4421.259,4468.575,4501.279
2022-05-09,4162.5,4421.259,4468.575,4501.279
2022-05-10,4050.0000000000005,4119.089,4163.547,4196.2393
2022-05-11,4000.0,4009.7097,4053.2595,4085.8787
2022-05-12,3937.5000000000005,3960.9985,4004.1663,4036.7424
2022-05-13,3900.0000000000005,3900.032,3942.737,3975.249
2022-05-14,3900.0000000000005,3863.4092,3905.8455,3938.3152
2022-05-15,3900.0000000000005,3863.4092,3905.8455,3938.3152
2022-05-16,3900.0000000000005,3863.4092,3905.8455,3938.3152
2022-05-17,3925.0000000000005,3863.4092,3905.8455,3938.3152
2022-05-18,3950.0,3887.8284,3930.442,3962.9407
2022-05-19,3950.0,3912.2322,3955.028,3987.554
2022-05-20,4000.0,3912.2327,3955.0283,3987.554
2022-05-21,4000.0,3960.9988,4004.1663,4036.7422
2022-05-22,4000.0,3960.9985,4004.1663,4036.7424
2022-05-23,3937.5000000000005,3960.9985,4004.1663,4036.7424
2022-05-24,3962.5000000000005,3900.032,3942.737,3975.249
2022-05-25,3925.0000000000005,3924.4304,3967.317,3999.8552
2022-05-26,3925.0000000000005,3887.8284,3930.442,3962.9407
2022-05-27,4050.0000000000005,3887.8284,3930.442,3962.9407
2022-05-28,4050.0000000000005,4009.7097,4053.2595,4085.8787
2022-05-29,4050.0000000000005,4009.7097,4053.2595,4085.8787
2022-05-30,4100.0,4009.7097,4053.2595,4085.8787
2022-05-31,4250.0,4058.3594,4102.306,4134.962
2022-06-01,4250.0,4203.9487,4249.1553,4281.882
2022-06-02,4100.0,4203.9487,4249.1553,4281.882
2022-06-03,4100.0,4058.3594,4102.306,4134.962
2022-06-04,4100.0,4058.3594,4102.306,4134.962
2022-06-05,4100.0,4058.3594,4102.306,4134.962
2022-06-06,4075.0,4058.3594,4102.306,4134.962
2022-06-07,4150.0,4034.0417,4077.788,4110.4272
2022-06-08,4200.0,4106.95,4151.3047,4183.99
2022-06-09,4212.5,4155.481,4200.255,4232.964
2022-06-10,4087.5000000000005,4167.6035,4212.4844,4245.1997
2022-06-11,4087.5000000000005,4046.2031,4090.0486,4122.697
2022-06-12,4087.5000000000005,4046.2031,4090.0486,4122.697
2022-06-13,4050.0000000000005,4046.2031,4090.0486,4122.697
2022-06-14,4100.0,4009.7097,4053.2595,4085.8787
2022-06-15,4150.0,4058.3594,4102.306,4134.962
2022-06-16,4187.5,4106.95,4151.3047,4183.99
2022-06-17,4037.5,4143.3545,4188.0215,4220.7266
2022-06-18,4037.5,3997.5369,4040.9907,4073.5996
2022-06-19,4037.5,3997.5369,4040.9907,4073.5996
2022-06-20,4125.0,3997.5369,4040.9907,4073.5996
2022-06-21,4125.0,4082.6624,4126.8115,4159.4844
2022-06-22,4075.0,4082.6624,4126.8115,4159.4844
2022-06-23,4075.0,4034.0417,4077.788,4110.4272
2022-06-24,4150.0,4034.0417,4077.788,4110.4272
2022-06-25,4150.0,4106.95,4151.3047,4183.99
2022-06-26,4150.0,4106.95,4151.3047,4183.99
2022-06-27,4112.500000000001,4106.95,4151.3047,4183.99
2022-06-28,4062.5,4070.5137,4114.56,4147.224
2022-06-29,3975.0,4021.8774,4065.525,4098.1543
2022-06-30,3962.5000000000005,3936.6235,3979.603,4012.1545
2022-07-01,3800.0,3924.4304,3967.317,3999.8552
2022-07-02,3800.0,3765.596,3807.3496,3839.6904
2022-07-03,3800.0,3765.596,3807.3496,3839.6904
2022-07-04,3700.0,3765.596,3807.3496,3839.6904
2022-07-05,3825.0,3667.5696,3708.6865,3740.8767
2022-07-06,3762.5,3790.0706,3831.9897,3864.3647
2022-07-07,3712.5000000000005,3728.861,3770.3699,3802.6565
2022-07-08,3737.5,3679.8333,3721.028,3753.2375
2022-07-09,3737.5,3704.3535,3745.7046,3777.9526
2022-07-10,3737.5,3704.3535,3745.7046,3777.9526
2022-07-11,3737.5,3704.3535,3745.7046,3777.9526
2022-07-12,3712.5000000000005,3704.3535,3745.7046,3777.9526
2022-07-13,3637.5,3679.8333,3721.028,3753.2375
